Vi (V),Vd (V),ﺎ,Id (mA),ﺎ
0.20,0.209,0.004,0.000,0.010
0.40,0.390,0.006,0.011,0.010
0.60,0.485,0.006,0.123,0.010
0.80,0.524,0.007,0.283,0.010
1.00,0.546,0.007,0.453,0.010
1.20,0.563,0.007,0.638,0.010
1.40,0.576,0.007,0.823,0.010
1.60,0.587,0.007,1.020,0.011
1.80,0.595,0.007,1.204,0.011
2.00,0.603,0.007,1.400,0.011
2.20,0.609,0.007,1.586,0.011
2.40,0.615,0.008,1.779,0.011
2.60,0.620,0.008,1.966,0.011
2.80,0.624,0.008,2.168,0.011
3.00,0.629,0.008,2.392,0.011
3.20,0.632,0.008,2.577,0.011
3.40,0.637,0.008,2.792,0.011
3.60,0.640,0.008,2.978,0.011
3.80,0.643,0.008,3.182,0.012
4.00,0.646,0.008,3.370,0.012
4.20,0.649,0.008,3.576,0.012
4.40,0.650,0.008,3.771,0.012
4.60,0.651,0.008,3.980,0.012
4.80,0.653,0.008,4.161,0.012
5.00,0.654,0.008,4.374,0.012
5.20,0.655,0.008,4.578,0.012
5.40,0.666,0.008,4.758,0.012
5.60,0.668,0.008,4.979,0.012
5.80,0.669,0.008,5.159,0.013
6.00,0.671,0.008,5.376,0.013
6.20,0.672,0.008,5.558,0.013
6.40,0.670,0.008,5.784,0.013
6.60,0.673,0.008,5.960,0.013
6.80,0.675,0.008,6.185,0.013
7.00,0.677,0.008,6.356,0.013
7.20,0.678,0.008,6.582,0.013
7.40,0.680,0.008,6.749,0.013
7.60,0.681,0.008,6.973,0.013
7.80,0.682,0.008,7.160,0.014
8.00,0.683,0.008,7.397,0.014
8.20,0.684,0.008,7.569,0.014
8.40,0.686,0.008,7.795,0.014
8.60,0.687,0.008,8.006,0.014
8.80,0.688,0.008,8.180,0.014
9.00,0.689,0.008,8.396,0.014
9.20,0.690,0.008,8.576,0.014
9.40,0.691,0.008,8.802,0.014
9.60,0.692,0.008,8.980,0.014
9.80,0.693,0.008,9.205,0.015
10.00,0.694,0.008,9.380,0.015
10.20,0.695,0.008,9.611,0.015
10.40,0.696,0.008,9.775,0.015
10.60,0.697,0.008,10.013,0.015
10.80,0.698,0.008,10.195,0.015
11.00,0.698,0.008,10.432,0.015
11.20,0.699,0.008,10.595,0.015
11.40,0.700,0.008,10.838,0.015
11.60,0.701,0.008,10.995,0.015
11.80,0.702,0.008,11.250,0.016
12.00,0.703,0.008,11.411,0.016
12.20,0.703,0.008,11.658,0.016
12.40,0.704,0.008,11.810,0.016
12.60,0.704,0.008,12.061,0.016
12.80,0.705,0.008,12.215,0.016
13.00,0.706,0.008,12.466,0.016
13.20,0.706,0.008,12.623,0.016
13.40,0.707,0.008,12.869,0.016
13.60,0.707,0.008,13.015,0.017
13.80,0.708,0.008,13.283,0.017
14.00,0.710,0.008,13.436,0.017
14.20,0.711,0.008,13.689,0.017
14.40,0.711,0.008,13.852,0.017
14.60,0.711,0.008,14.098,0.017
14.80,0.712,0.008,14.265,0.017
15.00,0.712,0.008,14.524,0.017
19.74,0.724,0.009,19.344,0.020
